time,power
1584173536000000000,109
1584173538000000000,109
1584173540000000000,111
1584173542000000000,108
1584173544000000000,110
1584173546000000000,109
1584173548000000000,110
1584173550000000000,111
1584173552000000000,108
1584173554000000000,111
1584173556000000000,107
1584173558000000000,109
1584173560000000000,109
1584173562000000000,108
1584173564000000000,109
1584173566000000000,109
1584173568000000000,111
1584173570000000000,108
1584173572000000000,111
1584173574000000000,109
1584173576000000000,108
1584173578000000000,109
1584173580000000000,110
1584173582000000000,111
1584173584000000000,108
1584173586000000000,108
1584173588000000000,109
1584173590000000000,109
1584173592000000000,108
1584173594000000000,109
1584173596000000000,109
1584173598000000000,108
1584173600000000000,108
1584173602000000000,109
1584173604000000000,109
1584173606000000000,110
1584173608000000000,109
1584173610000000000,109
1584173612000000000,110
1584173614000000000,111
1584173616000000000,107
1584173618000000000,110
1584173620000000000,317
1584173622000000000,319
1584173624000000000,319
1584173626000000000,321
1584173628000000000,320
1584173630000000000,318
1584173632000000000,317
1584173634000000000,320
1584173636000000000,320
1584173638000000000,316
1584173640000000000,318
1584173642000000000,321
1584173644000000000,319
1584173646000000000,319
1584173648000000000,320
1584173650000000000,322
1584173652000000000,321
1584173654000000000,319
1584173656000000000,319
1584173658000000000,318
1584173660000000000,319
1584173662000000000,319
1584173664000000000,318
1584173666000000000,320
1584173668000000000,320
1584173670000000000,320
1584173672000000000,321
1584173674000000000,319
1584173676000000000,318
1584173678000000000,318
1584173680000000000,322
1584173682000000000,322
1584173684000000000,318
1584173686000000000,317
1584173688000000000,317
1584173690000000000,321
1584173692000000000,321
1584173694000000000,321
1584173696000000000,320
1584173698000000000,320
1584173700000000000,318
1584173702000000000,318
1584173704000000000,318
1584173706000000000,319
1584173708000000000,319
1584173710000000000,319
1584173712000000000,319
1584173714000000000,319
1584173716000000000,323
1584173718000000000,318
1584173720000000000,318
1584173722000000000,318
1584173724000000000,320
1584173726000000000,318
1584173728000000000,316
1584173730000000000,319
1584173732000000000,317
1584173734000000000,320
1584173736000000000,320
1584173738000000000,316
1584173740000000000,320
1584173742000000000,317
1584173744000000000,320
1584173746000000000,318
1584173748000000000,318
1584173750000000000,320
1584173752000000000,318
1584173754000000000,321
1584173756000000000,318
1584173758000000000,320
1584173760000000000,321
1584173762000000000,317
1584173764000000000,319
1584173766000000000,319
1584173768000000000,319
1584173770000000000,320
1584173772000000000,322
1584173774000000000,321
1584173776000000000,317
1584173778000000000,319
1584173780000000000,318
1584173782000000000,321
1584173784000000000,321
1584173786000000000,321
1584173788000000000,319
1584173790000000000,319
1584173792000000000,319
1584173794000000000,320
1584173796000000000,320
1584173798000000000,319
1584173800000000000,320
1584173802000000000,321
1584173804000000000,317
1584173806000000000,320
1584173808000000000,319
1584173810000000000,317
1584173812000000000,318
1584173814000000000,376
1584173816000000000,383
1584173818000000000,374
1584173820000000000,378
1584173822000000000,382
1584173824000000000,372
1584173826000000000,376
1584173828000000000,383
1584173830000000000,382
1584173832000000000,372
1584173834000000000,385
1584173836000000000,380
1584173838000000000,374
1584173840000000000,383
1584173842000000000,373
1584173844000000000,378
1584173846000000000,381
1584173848000000000,376
1584173850000000000,375
1584173852000000000,381
1584173854000000000,377
1584173856000000000,382
1584173858000000000,380
1584173860000000000,385
1584173862000000000,375
1584173864000000000,382
1584173866000000000,375
1584173868000000000,382
1584173870000000000,375
1584173872000000000,381
1584173874000000000,378
1584173876000000000,379
1584173878000000000,374
1584173880000000000,383
1584173882000000000,374
1584173884000000000,381
1584173886000000000,380
1584173888000000000,378
1584173890000000000,376
1584173892000000000,378
1584173894000000000,378
1584173896000000000,383
1584173898000000000,376
1584173900000000000,382
1584173902000000000,383
1584173904000000000,374
1584173906000000000,383
1584173908000000000,378
1584173910000000000,378
1584173912000000000,382
1584173914000000000,380
1584173916000000000,378
1584173918000000000,384
1584173920000000000,378
1584173922000000000,381
1584173924000000000,380
1584173926000000000,384
1584173928000000000,377
1584173930000000000,374
1584173932000000000,383
1584173934000000000,379
1584173936000000000,378
1584173938000000000,374
1584173940000000000,376
1584173942000000000,386
1584173944000000000,378
1584173946000000000,382
1584173948000000000,382
1584173950000000000,385
1584173952000000000,374
1584173954000000000,381
1584173956000000000,381
1584173958000000000,383
1584173960000000000,374
1584173962000000000,375
1584173964000000000,379
1584173966000000000,374
1584173968000000000,380
1584173970000000000,374
1584173972000000000,377
1584173974000000000,377
1584173976000000000,379
1584173978000000000,375
1584173980000000000,384
1584173982000000000,383
1584173984000000000,376
1584173986000000000,383
1584173988000000000,379
1584173990000000000,375
1584173992000000000,378
1584173994000000000,376
1584173996000000000,380
1584173998000000000,381
1584174000000000000,170
1584174002000000000,169
1584174004000000000,168
1584174006000000000,170
1584174008000000000,167
1584174010000000000,167
1584174012000000000,168
1584174014000000000,168
1584174016000000000,169
1584174018000000000,168
1584174020000000000,168
1584174022000000000,168
1584174024000000000,168
1584174026000000000,169
1584174028000000000,169
1584174030000000000,168
1584174032000000000,170
1584174034000000000,168
1584174036000000000,169
1584174038000000000,168
1584174040000000000,171
1584174042000000000,171
1584174044000000000,171
1584174046000000000,169
1584174048000000000,170
1584174050000000000,168
1584174052000000000,170
1584174054000000000,169
1584174056000000000,169
1584174058000000000,169
1584174060000000000,168
1584174062000000000,168
1584174064000000000,170
1584174066000000000,168
1584174068000000000,168
1584174070000000000,169
1584174072000000000,169
1584174074000000000,168
1584174076000000000,169
1584174078000000000,167
1584174080000000000,167
1584174082000000000,168
1584174084000000000,169
1584174086000000000,169
1584174088000000000,169
1584174090000000000,169
1584174092000000000,170
1584174094000000000,169
1584174096000000000,169
1584174098000000000,168
1584174100000000000,168
1584174102000000000,170
1584174104000000000,167
1584174106000000000,169
1584174108000000000,168
1584174110000000000,168
1584174112000000000,169
1584174114000000000,170
1584174116000000000,170
1584174118000000000,168
1584174120000000000,170
1584174122000000000,167
1584174124000000000,169
1584174126000000000,168
1584174128000000000,169
1584174130000000000,169
1584174132000000000,168
1584174134000000000,168
1584174136000000000,167
1584174138000000000,168
1584174140000000000,169
1584174142000000000,168
1584174144000000000,169
1584174146000000000,168
1584174148000000000,168
1584174150000000000,168
1584174152000000000,170
1584174154000000000,167
1584174156000000000,168
1584174158000000000,169
1584174160000000000,168
1584174162000000000,167
1584174164000000000,169
1584174166000000000,167
1584174168000000000,166
1584174170000000000,168
1584174172000000000,169
1584174174000000000,168
1584174176000000000,167
1584174178000000000,170
1584174180000000000,169
1584174182000000000,169
1584174184000000000,168
1584174186000000000,168
1584174188000000000,170
1584174190000000000,169
1584174192000000000,167
1584174194000000000,169
1584174196000000000,168
1584174198000000000,108
1584174200000000000,109
1584174202000000000,110
1584174204000000000,109
1584174206000000000,109
1584174208000000000,110
1584174210000000000,108
1584174212000000000,109
1584174214000000000,108
1584174216000000000,109
1584174218000000000,109
1584174220000000000,109
1584174222000000000,109
1584174224000000000,109
1584174226000000000,108
1584174228000000000,108
1584174230000000000,108
1584174232000000000,110
1584174234000000000,109
1584174236000000000,108
1584174238000000000,109
1584174240000000000,109
1584174242000000000,108
1584174244000000000,110
1584174246000000000,110
1584174248000000000,110
1584174250000000000,109
1584174252000000000,107
1584174254000000000,108
1584174256000000000,108
1584174258000000000,109
1584174260000000000,108
1584174262000000000,108
1584174264000000000,107
1584174266000000000,110
1584174268000000000,108
1584174270000000000,109
1584174272000000000,107
1584174274000000000,109
1584174276000000000,109
1584174278000000000,108
1584174280000000000,110
1584174282000000000,108
1584174284000000000,110
1584174286000000000,109
1584174288000000000,108
1584174290000000000,108
1584174292000000000,109
1584174294000000000,110
1584174296000000000,110
1584174298000000000,108
1584174300000000000,109
1584174302000000000,109
1584174304000000000,109
1584174306000000000,107
1584174308000000000,109
1584174310000000000,108
1584174312000000000,108
1584174314000000000,110
1584174316000000000,108
1584174318000000000,108
1584174320000000000,109
1584174322000000000,109
1584174324000000000,110
1584174326000000000,108
1584174328000000000,109
1584174330000000000,108
1584174332000000000,110
1584174334000000000,108
1584174336000000000,110
1584174338000000000,109
1584174340000000000,108
1584174342000000000,107
1584174344000000000,107
1584174346000000000,110
1584174348000000000,108
1584174350000000000,109
1584174352000000000,109
1584174354000000000,109
1584174356000000000,109
1584174358000000000,110
1584174360000000000,110
1584174362000000000,109
1584174364000000000,109
1584174366000000000,109
1584174368000000000,109
1584174370000000000,109
1584174372000000000,109
1584174374000000000,110
1584174376000000000,109
1584174378000000000,109
1584174380000000000,109
1584174382000000000,108
1584174384000000000,109
1584174386000000000,108
1584174388000000000,109
1584174390000000000,110
1584174392000000000,110
1584174394000000000,110
1584174396000000000,110
1584174398000000000,108
1584174400000000000,109
1584174402000000000,110
1584174404000000000,110
1584174406000000000,108
1584174408000000000,108
1584174410000000000,108
1584174412000000000,108
1584174414000000000,109
1584174416000000000,110
1584174418000000000,109
1584174420000000000,109
1584174422000000000,110
1584174424000000000,111
1584174426000000000,108
1584174428000000000,108
1584174430000000000,108
1584174432000000000,109
1584174434000000000,109
1584174436000000000,110
1584174438000000000,108
1584174440000000000,110
1584174442000000000,110
1584174444000000000,110
1584174446000000000,109
1584174448000000000,110
1584174450000000000,110
1584174452000000000,110
1584174454000000000,109
1584174456000000000,109
1584174458000000000,110
1584174460000000000,110
1584174462000000000,110
1584174464000000000,109
1584174466000000000,110
1584174468000000000,107
1584174470000000000,110
1584174472000000000,136
1584174474000000000,134
1584174476000000000,138
1584174478000000000,133
1584174480000000000,135
1584174482000000000,131
1584174484000000000,135
1584174486000000000,136
1584174488000000000,136
1584174490000000000,135
1584174492000000000,135
1584174494000000000,136
1584174496000000000,133
1584174498000000000,135
1584174500000000000,135
1584174502000000000,135
1584174504000000000,135
1584174506000000000,133
1584174508000000000,134
1584174510000000000,135
1584174512000000000,134
1584174514000000000,134
1584174516000000000,135
1584174518000000000,135
1584174520000000000,135
1584174522000000000,137
